region_id,시군구명,행정동명,기준일자,실거래가,서울평균_실거래가,실거래가_서울평균대비율,실거래가_서울평균대비금액,전세가,서울평균_전세가,전세가_서울평균대비율,전세가_서울평균대비금액,거래량,거래량_해석주의
1150055000,강서구,화곡2동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1150056000,강서구,화곡3동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1150057000,강서구,화곡4동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1150059100,강서구,화곡6동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1150059300,강서구,화곡8동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1150059000,강서구,화곡본동,2023-09,18216.67,15037.33,21.14,3179.34,24950.0,32116.13,-22.31,-7166.13,0.75,True
1162058500,관악구,낙성대동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162077500,관악구,난곡동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162071500,관악구,난향동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162063000,관악구,남현동,2023-09,2000.0,15037.33,-86.7,-13037.33,,32116.13,,,1.0,True
1162073500,관악구,대학동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162076500,관악구,미성동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162052500,관악구,보라매동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162074500,관악구,삼성동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162066500,관악구,서림동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162064500,관악구,서원동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162056500,관악구,성현동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162069500,관악구,신림동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162068500,관악구,신사동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162065500,관악구,신원동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162060500,관악구,은천동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162062500,관악구,인헌동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162072500,관악구,조원동,2023-09,10300.0,15037.33,-31.5,-4737.33,19500.0,32116.13,-39.28,-12616.13,0.73,True
1162061500,관악구,중앙동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162059500,관악구,청룡동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162054500,관악구,청림동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1162057500,관악구,행운동,2023-09,11580.0,15037.33,-22.99,-3457.33,22550.0,32116.13,-29.79,-9566.13,1.0,True
1121581000,광진구,광장동,2023-09,75000.0,15037.33,398.76,59962.67,75000.0,32116.13,133.53,42883.87,1.0,True
1121585000,광진구,구의1동,2023-09,15266.67,15037.33,1.53,229.34,21400.0,32116.13,-33.37,-10716.13,1.0,True
1121586000,광진구,구의2동,2023-09,15266.67,15037.33,1.53,229.34,21400.0,32116.13,-33.37,-10716.13,1.0,True
1121587000,광진구,구의3동,2023-09,15266.67,15037.33,1.53,229.34,21400.0,32116.13,-33.37,-10716.13,1.0,True
1121578000,광진구,능동,2023-09,40000.0,15037.33,166.0,24962.67,40000.0,32116.13,24.55,7883.87,1.0,True
1121582000,광진구,자양1동,2023-09,15966.67,15037.33,6.18,929.34,46650.0,32116.13,45.25,14533.87,1.5,True
1121583000,광진구,자양2동,2023-09,15966.67,15037.33,6.18,929.34,46650.0,32116.13,45.25,14533.87,1.5,True
1121584000,광진구,자양3동,2023-09,15966.67,15037.33,6.18,929.34,46650.0,32116.13,45.25,14533.87,1.5,True
1121584700,광진구,자양4동,2023-09,15966.67,15037.33,6.18,929.34,46650.0,32116.13,45.25,14533.87,1.5,True
1153074000,구로구,개봉1동,2023-09,200.0,15037.33,-98.67,-14837.33,,32116.13,,,0.33,True
1153075000,구로구,개봉2동,2023-09,200.0,15037.33,-98.67,-14837.33,,32116.13,,,0.33,True
1153076000,구로구,개봉3동,2023-09,200.0,15037.33,-98.67,-14837.33,,32116.13,,,0.33,True
1153072000,구로구,고척1동,2023-09,8000.0,15037.33,-46.8,-7037.33,8000.0,32116.13,-75.09,-24116.13,0.5,True
1153073000,구로구,고척2동,2023-09,8000.0,15037.33,-46.8,-7037.33,8000.0,32116.13,-75.09,-24116.13,0.5,True
1153052000,구로구,구로1동,2023-09,20625.0,15037.33,37.16,5587.67,40500.0,32116.13,26.1,8383.87,0.8,True
