region_id,시도명,시군구명,행정동코드,행정동명
1153055000,서울특별시,구로구,1153055000,구로4동
1153056000,서울특별시,구로구,1153056000,구로5동
1153079000,서울특별시,구로구,1153079000,수궁동
1153051000,서울특별시,구로구,1153051000,신도림동
1153077000,서울특별시,구로구,1153077000,오류1동
1153078000,서울특별시,구로구,1153078000,오류2동
1153080000,서울특별시,구로구,1153080000,항동
1154551000,서울특별시,금천구,1154551000,가산동
1154561000,서울특별시,금천구,1154561000,독산1동
1154562000,서울특별시,금천구,1154562000,독산2동
1154563000,서울특별시,금천구,1154563000,독산3동
1154564000,서울특별시,금천구,1154564000,독산4동
1154567000,서울특별시,금천구,1154567000,시흥1동
1154568000,서울특별시,금천구,1154568000,시흥2동
1154569000,서울특별시,금천구,1154569000,시흥3동
1154570000,서울특별시,금천구,1154570000,시흥4동
1154571000,서울특별시,금천구,1154571000,시흥5동
1135059500,서울특별시,노원구,1135059500,공릉1동
1135060000,서울특별시,노원구,1135060000,공릉2동
1135072000,서울특별시,노원구,1135072000,상계10동
1135063000,서울특별시,노원구,1135063000,상계1동
1135064000,서울특별시,노원구,1135064000,상계2동
1135066500,서울특별시,노원구,1135066500,상계3·4동
1135067000,서울특별시,노원구,1135067000,상계5동
1135069500,서울특별시,노원구,1135069500,상계6·7동
1135070000,서울특별시,노원구,1135070000,상계8동
1135071000,서울특별시,노원구,1135071000,상계9동
1135056000,서울특별시,노원구,1135056000,월계1동
1135057000,서울특별시,노원구,1135057000,월계2동
1135058000,서울특별시,노원구,1135058000,월계3동
1135062100,서울특별시,노원구,1135062100,중계1동
1135062500,서울특별시,노원구,1135062500,중계2·3동
1135062400,서울특별시,노원구,1135062400,중계4동
1135061900,서울특별시,노원구,1135061900,중계본동
1135061100,서울특별시,노원구,1135061100,하계1동
1135061200,서울특별시,노원구,1135061200,하계2동
1132052100,서울특별시,도봉구,1132052100,도봉1동
1132052200,서울특별시,도봉구,1132052200,도봉2동
1132069000,서울특별시,도봉구,1132069000,방학1동
1132070000,서울특별시,도봉구,1132070000,방학2동
1132071000,서울특별시,도봉구,1132071000,방학3동
1132066000,서울특별시,도봉구,1132066000,쌍문1동
1132067000,서울특별시,도봉구,1132067000,쌍문2동
1132068000,서울특별시,도봉구,1132068000,쌍문3동
1132068100,서울특별시,도봉구,1132068100,쌍문4동
1132051100,서울특별시,도봉구,1132051100,창1동
1132051200,서울특별시,도봉구,1132051200,창2동
1132051300,서울특별시,도봉구,1132051300,창3동
1132051400,서울특별시,도봉구,1132051400,창4동
1132051500,서울특별시,도봉구,1132051500,창5동
1123060000,서울특별시,동대문구,1123060000,답십리1동
1123061000,서울특별시,동대문구,1123061000,답십리2동
1123053600,서울특별시,동대문구,1123053600,용신동
1123074000,서울특별시,동대문구,1123074000,이문1동
1123075000,서울특별시,동대문구,1123075000,이문2동
1123065000,서울특별시,동대문구,1123065000,장안1동
1123066000,서울특별시,동대문구,1123066000,장안2동
1123056000,서울특별시,동대문구,1123056000,전농1동
1123057000,서울특별시,동대문구,1123057000,전농2동
1123054500,서울특별시,동대문구,1123054500,제기동
1123070500,서울특별시,동대문구,1123070500,청량리동
1123071000,서울특별시,동대문구,1123071000,회기동
1123072000,서울특별시,동대문구,1123072000,휘경1동
1123073000,서울특별시,동대문구,1123073000,휘경2동
1159051000,서울특별시,동작구,1159051000,노량진1동
1159052000,서울특별시,동작구,1159052000,노량진2동
1159066000,서울특별시,동작구,1159066000,대방동
1159062000,서울특별시,동작구,1159062000,사당1동
1159063000,서울특별시,동작구,1159063000,사당2동
1159064000,서울특별시,동작구,1159064000,사당3동
1159065000,서울특별시,동작구,1159065000,사당4동
1159065100,서울특별시,동작구,1159065100,사당5동
1159053000,서울특별시,동작구,1159053000,상도1동
1159054000,서울특별시,동작구,1159054000,상도2동
1159055000,서울특별시,동작구,1159055000,상도3동
1159056000,서울특별시,동작구,1159056000,상도4동
1159067000,서울특별시,동작구,1159067000,신대방1동
1159068000,서울특별시,동작구,1159068000,신대방2동
1159060500,서울특별시,동작구,1159060500,흑석동
1144056500,서울특별시,마포구,1144056500,공덕동
1144060000,서울특별시,마포구,1144060000,대흥동
