region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1123070500,2026-05,,19470.6,21353.33,18125.79,1.18,
1123071000,2026-05,,19850.51,21697.18,18531.47,1.17,
1123072000,2026-05,,20080.93,18604.95,21135.2,0.88,
1123073000,2026-05,,18471.1,16682.97,19748.34,0.84,
1123074000,2026-05,,37044.33,35790.67,37939.8,0.94,
1123075000,2026-05,,12192.99,10010.55,13751.88,0.73,
1126052000,2026-05,,19108.29,16644.42,20868.19,0.8,
1126054000,2026-05,,14737.35,13169.67,15857.12,0.83,
1126055000,2026-05,,11202.45,10025.83,12042.9,0.83,
1126056500,2026-05,,27102.73,23347.4,29785.1,0.78,
1126057000,2026-05,,14748.63,12764.09,16166.16,0.79,
1126057500,2026-05,,20053.62,19141.06,20705.45,0.92,
1126058000,2026-05,,17946.24,18174.51,17783.18,1.02,
1126059000,2026-05,,23166.76,22389.5,23721.94,0.94,
1126060000,2026-05,,14751.64,12328.8,16482.24,0.75,
1126061000,2026-05,,24726.82,22681.26,26187.93,0.87,
1126062000,2026-05,,24044.11,20913.22,26280.47,0.8,
1126063000,2026-05,,17877.02,17149.49,18396.68,0.93,
1126065500,2026-05,,39308.69,38572.97,39834.2,0.97,
1126066000,2026-05,,9350.88,7788.42,10466.93,0.74,
1126068000,2026-05,,32414.74,29994.27,34143.65,0.88,
1126069000,2026-05,,13053.02,12117.15,13721.5,0.88,
1129052500,2026-05,,19287.62,19095.9,19424.56,0.98,
1129055500,2026-05,,26303.54,26744.52,25988.55,1.03,
1129057500,2026-05,,24215.67,25242.8,23482.0,1.07,
1129058000,2026-05,,9977.35,8535.72,11007.1,0.78,
1129059000,2026-05,,13692.59,10714.17,15820.04,0.68,
1129060000,2026-05,,28729.87,32644.66,25933.6,1.26,
1129061000,2026-05,,13561.03,12311.13,14453.82,0.85,
1129062000,2026-05,,12460.72,10764.65,13672.2,0.79,
1129063000,2026-05,,17644.28,14838.33,19648.54,0.76,
1129064000,2026-05,,17534.73,19111.1,16408.76,1.16,
