region_id,area_km2,centroid_lon,centroid_lat,map_x,map_y
1123074000,1.03801,127.060446,37.597368,0.706491,0.3815
1123075000,0.724017,127.067516,37.602841,0.723417,0.36157
1126052000,0.762536,127.07784,37.589288,0.747844,0.411297
1126054000,0.842818,127.085374,37.573618,0.765597,0.468728
1126055000,0.704395,127.07888,37.582518,0.750232,0.436081
1126056500,0.848366,127.089379,37.588316,0.775341,0.415001
1126057000,1.234524,127.092798,37.577139,0.783346,0.455942
1126057500,1.613531,127.098349,37.584489,0.796675,0.429118
1126058000,0.853122,127.089446,37.601722,0.775675,0.36595
1126059000,0.676925,127.084015,37.594321,0.762632,0.39296
1126060000,0.641441,127.083071,37.602593,0.760491,0.362682
1126061000,1.016176,127.075029,37.599182,0.741276,0.375057
1126062000,1.237485,127.082533,37.613726,0.759357,0.321939
1126063000,0.668691,127.074623,37.610826,0.740466,0.332446
1126065500,2.94796,127.107442,37.602137,0.818576,0.364656
1126066000,0.961818,127.102829,37.591885,0.80745,0.402111
1126068000,2.602779,127.10404,37.613163,0.810607,0.324271
1126069000,0.910609,127.091587,37.610984,0.7809,0.33209
1129052500,2.877618,126.994132,37.596683,0.548402,0.383035
1129055500,0.925528,127.011707,37.586553,0.590138,0.420369
1129057500,0.72426,127.018515,37.593649,0.606479,0.394507
1129058000,0.488925,127.024398,37.599751,0.620596,0.372268
1129059000,0.518094,127.011601,37.597082,0.59005,0.381844
1129060000,1.378526,127.02722,37.587727,0.627142,0.416304
1129061000,0.552588,127.019131,37.582826,0.607782,0.43412
1129062000,0.411654,127.016982,37.60328,0.602972,0.359247
1129063000,1.094064,127.008499,37.603675,0.58276,0.357674
1129064000,3.324627,126.99459,37.612097,0.549742,0.326642
1129065000,3.568232,126.994897,37.623948,0.550666,0.283285
1129066000,0.79671,127.019743,37.608224,0.609629,0.341199
1129068500,0.587557,127.027164,37.608287,0.627317,0.341077
1129070500,1.403462,127.033866,37.597441,0.643129,0.380858
1129071500,0.801149,127.036551,37.607834,0.649685,0.342871
1129072500,1.364206,127.045403,37.603228,0.670715,0.359849
1129076000,0.708007,127.044655,37.615099,0.669106,0.316403
1129077000,0.67904,127.051898,37.612349,0.686329,0.326568
1129078000,0.652104,127.05345,37.618258,0.69011,0.304967
1129081000,1.70387,127.061358,37.608278,0.708816,0.341593
1130553400,0.923394,127.01493,37.623804,0.598399,0.284118
1130553500,0.840568,127.026389,37.628643,0.625778,0.266583
1130554500,1.07498,127.032983,37.617672,0.641327,0.306821
1130555500,0.929209,127.024908,37.618186,0.622092,0.304823
1130557500,0.621441,127.016525,37.617159,0.602097,0.308455
1130564500,10.579835,127.000487,37.660353,0.564567,0.150166
1130566000,2.99571,127.003548,37.637405,0.571494,0.234181
1132051100,1.121318,127.043542,37.647091,0.66692,0.19933
1132051200,0.653945,127.036767,37.642512,0.650713,0.215989
1132051300,0.654987,127.041725,37.637294,0.662447,0.235151
1132051400,1.138803,127.050909,37.652719,0.684549,0.17884
1132051500,0.700943,127.042789,37.655372,0.665247,0.169019
1132052100,8.445069,127.026798,37.685321,0.627611,0.059203
1132052200,1.118179,127.047703,37.681255,0.677324,0.074384
1132066000,1.174886,127.019516,37.653069,0.609776,0.177107
1132067000,0.540782,127.036918,37.65711,0.651287,0.162577
1132068000,0.504423,127.030588,37.647663,0.636068,0.19705
1132068100,0.554447,127.030421,37.655429,0.635787,0.168632
1132069000,1.040066,127.043477,37.665045,0.667025,0.133637
1132070000,1.091986,127.032692,37.669186,0.641401,0.118328
1132071000,1.94955,127.023563,37.66319,0.619571,0.140136
1135056000,1.140715,127.058339,37.621926,0.701813,0.291613
