region_id,기준일자,안심시설수,유흥시설수,CCTV수,경찰시설수,매핑방법,데이터출처
1121575000,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121576000,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121577000,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121578000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121581000,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121582000,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121583000,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121584000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121584700,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121585000,2026-06-17,0,15,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121586000,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1121587000,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123053600,2026-06-17,0,19,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123054500,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123056000,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123057000,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123060000,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123061000,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123065000,2026-06-17,0,24,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123066000,2026-06-17,0,34,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123070500,2026-06-17,0,9,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123071000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123072000,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1123073000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
