시도명,시군구명,행정동코드,행정동명,법정동코드,법정동명,개정일자,연결번호
서울특별시,강서구,1150053000,등촌2동,1150010200,등촌동,2025-04-01,344
서울특별시,강서구,1150053500,등촌3동,1150010200,등촌동,2025-04-01,345
서울특별시,강서구,1150061100,발산1동,1150010600,내발산동,2025-04-01,359
서울특별시,강서구,1150061100,발산1동,1150010500,마곡동,2025-04-01,359
서울특별시,강서구,1150061100,발산1동,1150010700,외발산동,2025-04-01,359
서울특별시,강서구,1150063000,방화1동,1150010800,공항동,2025-04-01,361
서울특별시,강서구,1150063000,방화1동,1150010500,마곡동,2025-04-01,361
서울특별시,강서구,1150063000,방화1동,1150010900,방화동,2025-04-01,361
서울특별시,강서구,1150064000,방화2동,1150011000,개화동,2025-04-01,362
서울특별시,강서구,1150064000,방화2동,1150010900,방화동,2025-04-01,362
서울특별시,강서구,1150064100,방화3동,1150010500,마곡동,2025-04-01,363
서울특별시,강서구,1150064100,방화3동,1150010900,방화동,2025-04-01,363
서울특별시,강서구,1150051000,염창동,1150010400,가양동,2025-04-01,342
서울특별시,강서구,1150051000,염창동,1150010100,염창동,2025-04-01,342
서울특별시,강서구,1150061500,우장산동,1150010600,내발산동,2025-04-01,352
서울특별시,강서구,1150061500,우장산동,1150010300,화곡동,2025-04-01,352
서울특별시,강서구,1150054000,화곡1동,1150010300,화곡동,2025-04-01,347
서울특별시,강서구,1150055000,화곡2동,1150010300,화곡동,2025-04-01,349
서울특별시,강서구,1150056000,화곡3동,1150010300,화곡동,2025-04-01,350
서울특별시,강서구,1150057000,화곡4동,1150010300,화곡동,2025-04-01,351
서울특별시,강서구,1150059100,화곡6동,1150010300,화곡동,2025-04-01,354
서울특별시,강서구,1150059300,화곡8동,1150010300,화곡동,2025-04-01,355
서울특별시,강서구,1150059000,화곡본동,1150010300,화곡동,2025-04-01,346
서울특별시,관악구,1162058500,낙성대동,1162010100,봉천동,2025-04-01,456
서울특별시,관악구,1162077500,난곡동,1162010200,신림동,2025-04-01,463
서울특별시,관악구,1162071500,난향동,1162010200,신림동,2025-04-01,469
서울특별시,관악구,1162063000,남현동,1162010300,남현동,2025-04-01,459
서울특별시,관악구,1162073500,대학동,1162010200,신림동,2025-04-01,471
서울특별시,관악구,1162076500,미성동,1162010200,신림동,2025-04-01,472
서울특별시,관악구,1162052500,보라매동,1162010100,봉천동,2025-04-01,449
서울특별시,관악구,1162074500,삼성동,1162010200,신림동,2025-04-01,467
서울특별시,관악구,1162066500,서림동,1162010200,신림동,2025-04-01,462
서울특별시,관악구,1162064500,서원동,1162010200,신림동,2025-04-01,460
서울특별시,관악구,1162056500,성현동,1162010100,봉천동,2025-04-01,450
서울특별시,관악구,1162069500,신림동,1162010200,신림동,2025-04-01,466
서울특별시,관악구,1162068500,신사동,1162010200,신림동,2025-04-01,465
서울특별시,관악구,1162065500,신원동,1162010200,신림동,2025-04-01,460
서울특별시,관악구,1162060500,은천동,1162010100,봉천동,2025-04-01,447
서울특별시,관악구,1162062500,인헌동,1162010100,봉천동,2025-04-01,458
서울특별시,관악구,1162072500,조원동,1162010200,신림동,2025-04-01,470
서울특별시,관악구,1162061500,중앙동,1162010100,봉천동,2025-04-01,457
서울특별시,관악구,1162059500,청룡동,1162010100,봉천동,2025-04-01,453
서울특별시,관악구,1162054500,청림동,1162010100,봉천동,2025-04-01,452
서울특별시,관악구,1162057500,행운동,1162010100,봉천동,2025-04-01,455
서울특별시,광진구,1121581000,광장동,1121510400,광장동,2025-04-01,99
서울특별시,광진구,1121585000,구의1동,1121510300,구의동,2025-04-01,96
서울특별시,광진구,1121586000,구의2동,1121510300,구의동,2025-04-01,97
서울특별시,광진구,1121587000,구의3동,1121510300,구의동,2025-04-01,98
서울특별시,광진구,1121573000,군자동,1121510900,군자동,2025-04-01,90
서울특별시,광진구,1121578000,능동,1121510200,능동,2025-04-01,95
서울특별시,광진구,1121582000,자양1동,1121510500,자양동,2025-04-01,100
서울특별시,광진구,1121583000,자양2동,1121510500,자양동,2025-04-01,101
서울특별시,광진구,1121584000,자양3동,1121510500,자양동,2025-04-01,102
서울특별시,광진구,1121584700,자양4동,1121510500,자양동,2025-04-01,87
서울특별시,광진구,1121574000,중곡1동,1121510100,중곡동,2025-04-01,91
서울특별시,광진구,1121575000,중곡2동,1121510100,중곡동,2025-04-01,92
서울특별시,광진구,1121576000,중곡3동,1121510100,중곡동,2025-04-01,93
서울특별시,광진구,1121577000,중곡4동,1121510100,중곡동,2025-04-01,94
서울특별시,광진구,1121571000,화양동,1121510700,화양동,2025-04-01,89
서울특별시,구로구,1153059500,가리봉동,1153010300,가리봉동,2025-04-01,374
서울특별시,구로구,1153074000,개봉1동,1153010700,개봉동,2025-04-01,378
서울특별시,구로구,1153075000,개봉2동,1153010700,개봉동,2025-04-01,380
서울특별시,구로구,1153076000,개봉3동,1153010700,개봉동,2025-04-01,381
서울특별시,구로구,1153072000,고척1동,1153010600,고척동,2025-04-01,376
서울특별시,구로구,1153073000,고척2동,1153010600,고척동,2025-04-01,377
서울특별시,구로구,1153052000,구로1동,1153010200,구로동,2025-04-01,367
서울특별시,구로구,1153053000,구로2동,1153010200,구로동,2025-04-01,368
서울특별시,구로구,1153054000,구로3동,1153010200,구로동,2025-04-01,370
서울특별시,구로구,1153055000,구로4동,1153010200,구로동,2025-04-01,371
서울특별시,구로구,1153056000,구로5동,1153010200,구로동,2025-04-01,373
서울특별시,구로구,1153079000,수궁동,1153010900,궁동,2025-04-01,384
서울특별시,구로구,1153079000,수궁동,1153011000,온수동,2025-04-01,384
서울특별시,구로구,1153051000,신도림동,1153010100,신도림동,2025-04-01,366
서울특별시,구로구,1153077000,오류1동,1153010800,오류동,2025-04-01,382
서울특별시,구로구,1153078000,오류2동,1153010800,오류동,2025-04-01,383
서울특별시,구로구,1153078000,오류2동,1153011100,천왕동,2025-04-01,383
서울특별시,구로구,1153078000,오류2동,1153011200,항동,2019-10-01,"383, 4315"
서울특별시,구로구,1153080000,항동,1153011200,항동,2025-04-01,4315
서울특별시,금천구,1154551000,가산동,1154510100,가산동,2025-04-01,387
서울특별시,금천구,1154561000,독산1동,1154510200,독산동,2025-04-01,388
서울특별시,금천구,1154562000,독산2동,1154510200,독산동,2025-04-01,389
서울특별시,금천구,1154563000,독산3동,1154510200,독산동,2025-04-01,390
서울특별시,금천구,1154564000,독산4동,1154510200,독산동,2025-04-01,392
서울특별시,금천구,1154567000,시흥1동,1154510300,시흥동,2025-04-01,393
서울특별시,금천구,1154568000,시흥2동,1154510300,시흥동,2025-04-01,395
서울특별시,금천구,1154569000,시흥3동,1154510300,시흥동,2025-04-01,396
서울특별시,금천구,1154570000,시흥4동,1154510300,시흥동,2025-04-01,397
서울특별시,금천구,1154571000,시흥5동,1154510300,시흥동,2025-04-01,398
서울특별시,노원구,1135059500,공릉1동,1135010300,공릉동,2025-04-01,227
서울특별시,노원구,1135060000,공릉2동,1135010300,공릉동,2025-04-01,229
서울특별시,노원구,1135072000,상계10동,1135010500,상계동,2025-04-01,246
서울특별시,노원구,1135063000,상계1동,1135010500,상계동,2025-04-01,237
서울특별시,노원구,1135064000,상계2동,1135010500,상계동,2025-04-01,238
서울특별시,노원구,1135066500,상계3·4동,1135010500,상계동,2025-04-01,239
서울특별시,노원구,1135067000,상계5동,1135010500,상계동,2025-04-01,241
서울특별시,노원구,1135069500,상계6·7동,1135010500,상계동,2025-04-01,242
서울특별시,노원구,1135070000,상계8동,1135010500,상계동,2025-04-01,244
