region_id,기준일자,실거래가,전세가,전세가율,거래량
1147061100,2023-09,6287.0,,,0.14
1147062000,2023-09,1000.0,,,0.17
1147063000,2023-09,1000.0,,,0.17
1147064000,2023-09,1000.0,,,0.17
1147065000,2023-09,1000.0,,,0.17
1147067000,2023-09,1000.0,,,0.17
1147068000,2023-09,1000.0,,,0.17
1150051000,2023-09,970.0,,,0.25
1150054000,2023-09,18216.67,24950.0,,0.75
1150055000,2023-09,18216.67,24950.0,,0.75
1150056000,2023-09,18216.67,24950.0,,0.75
1150057000,2023-09,18216.67,24950.0,,0.75
1150059000,2023-09,18216.67,24950.0,,0.75
1150059100,2023-09,18216.67,24950.0,,0.75
1150059300,2023-09,18216.67,24950.0,,0.75
1150060300,2023-09,970.0,,,0.25
1150060400,2023-09,970.0,,,0.25
1150060500,2023-09,970.0,,,0.25
1150061500,2023-09,18216.67,24950.0,,0.75
1150062000,2023-09,20000.0,20000.0,,0.5
1150063000,2023-09,20000.0,20000.0,,0.5
1153051000,2023-09,16850.0,16850.0,,4.0
1153052000,2023-09,20625.0,40500.0,,0.8
1153053000,2023-09,20625.0,40500.0,,0.8
1153054000,2023-09,20625.0,40500.0,,0.8
1153055000,2023-09,20625.0,40500.0,,0.8
1153056000,2023-09,20625.0,40500.0,,0.8
1153072000,2023-09,8000.0,8000.0,,0.5
1153073000,2023-09,8000.0,8000.0,,0.5
1153074000,2023-09,200.0,,,0.33
1153075000,2023-09,200.0,,,0.33
1153076000,2023-09,200.0,,,0.33
1153078000,2023-09,10353.67,19091.0,,4.5
1153080000,2023-09,9547.4,,,2.5
1154551000,2023-09,11000.0,,,2.0
1154561000,2023-09,3823.0,,,0.75
1154562000,2023-09,3823.0,,,0.75
1154563000,2023-09,3823.0,,,0.75
1154564000,2023-09,3823.0,,,0.75
1154567000,2023-09,1045.75,,,0.8
1154568000,2023-09,1045.75,,,0.8
1154569000,2023-09,1045.75,,,0.8
1154570000,2023-09,1045.75,,,0.8
1154571000,2023-09,1045.75,,,0.8
1156051500,2023-09,706.5,,,0.29
1156053500,2023-09,25000.0,49000.0,,2.0
1156058500,2023-09,3000.0,,,1.0
1156060500,2023-09,33000.0,33000.0,,1.0
1156063000,2023-09,706.5,,,0.29
1156065000,2023-09,706.5,,,0.29
1156066000,2023-09,706.5,,,0.29
1156067000,2023-09,7575.09,11500.0,,0.79
1156068000,2023-09,706.5,,,0.29
1156069000,2023-09,706.5,,,0.29
1156070000,2023-09,11500.0,11500.0,,0.5
1156071000,2023-09,11500.0,11500.0,,0.5
1156072000,2023-09,11500.0,11500.0,,0.5
1159051000,2023-09,28375.0,28375.0,,1.0
1159052000,2023-09,28375.0,28375.0,,1.0
1159053000,2023-09,2500.0,,,0.25
1159054000,2023-09,2500.0,,,0.25
1159055000,2023-09,2500.0,,,0.25
1159056000,2023-09,2500.0,,,0.25
1159060500,2023-09,30000.0,,,1.0
1159062000,2023-09,4000.0,,,0.8
1159063000,2023-09,4000.0,,,0.8
1159064000,2023-09,4000.0,,,0.8
1159065000,2023-09,4000.0,,,0.8
1159065100,2023-09,4000.0,,,0.8
1159067000,2023-09,17325.0,17325.0,,0.5
1159068000,2023-09,17325.0,17325.0,,0.5
1162052500,2023-09,11580.0,22550.0,,1.0
1162054500,2023-09,11580.0,22550.0,,1.0
1162056500,2023-09,11580.0,22550.0,,1.0
1162057500,2023-09,11580.0,22550.0,,1.0
1162058500,2023-09,11580.0,22550.0,,1.0
1162059500,2023-09,11580.0,22550.0,,1.0
1162060500,2023-09,11580.0,22550.0,,1.0
1162061500,2023-09,11580.0,22550.0,,1.0
1162062500,2023-09,11580.0,22550.0,,1.0
1162063000,2023-09,2000.0,,,1.0
1162064500,2023-09,10300.0,19500.0,,0.73
1162065500,2023-09,10300.0,19500.0,,0.73
1162066500,2023-09,10300.0,19500.0,,0.73
1162068500,2023-09,10300.0,19500.0,,0.73
1162069500,2023-09,10300.0,19500.0,,0.73
1162071500,2023-09,10300.0,19500.0,,0.73
1162072500,2023-09,10300.0,19500.0,,0.73
1162073500,2023-09,10300.0,19500.0,,0.73
1162074500,2023-09,10300.0,19500.0,,0.73
1162076500,2023-09,10300.0,19500.0,,0.73
1162077500,2023-09,10300.0,19500.0,,0.73
1165051000,2023-09,80000.0,80000.0,,0.25
1165052000,2023-09,80000.0,80000.0,,0.25
1165053000,2023-09,42363.64,49555.56,,0.92
1165053100,2023-09,80000.0,80000.0,,0.25
1165054000,2023-09,50333.33,58000.0,,1.5
1165055000,2023-09,40880.0,34000.0,,0.75
1165056000,2023-09,40880.0,34000.0,,0.75
1165057000,2023-09,40880.0,34000.0,,0.75
1165058000,2023-09,50333.33,58000.0,,1.5
1165058100,2023-09,40880.0,34000.0,,0.75
1165059000,2023-09,28250.0,34333.33,,0.67
1165060000,2023-09,28250.0,34333.33,,0.67
1165061000,2023-09,28250.0,34333.33,,0.67
1165062000,2023-09,28250.0,34333.33,,0.67
1165062100,2023-09,28250.0,34333.33,,0.67
1165065100,2023-09,19091.0,29500.0,,2.0
1165065200,2023-09,29500.0,29500.0,,1.0
1168052100,2023-09,9000.0,17000.0,,1.0
1168053100,2023-09,9000.0,17000.0,,1.0
1168058000,2023-09,17100.0,19800.0,,1.0
1168059000,2023-09,17100.0,19800.0,,1.0
1168060000,2023-09,70000.0,,,0.2
1168061000,2023-09,70000.0,,,0.2
1168063000,2023-09,70000.0,,,0.2
1168064000,2023-09,39625.0,135000.0,,2.0
1168065000,2023-09,39625.0,135000.0,,2.0
1168066000,2023-09,12487.5,17850.0,,0.8
1168067000,2023-09,12487.5,17850.0,,0.8
1168067500,2023-09,23990.0,17850.0,,1.0
1168069000,2023-09,12487.5,17850.0,,0.8
1168074000,2023-09,23990.0,17850.0,,1.0
1171051000,2023-09,10500.0,19000.0,,1.0
1171052000,2023-09,10500.0,19000.0,,1.0
1171056100,2023-09,16275.0,32050.0,,0.67
1171056200,2023-09,16275.0,32050.0,,0.67
1171056600,2023-09,16275.0,32050.0,,0.67
1171058000,2023-09,3000.0,,,0.5
1171059000,2023-09,3000.0,,,0.5
1171060000,2023-09,12650.0,24900.0,,2.0
1171061000,2023-09,2100.0,,,5.0
1171064100,2023-09,11400.0,,,0.33
1171064200,2023-09,11400.0,,,0.33
1171064600,2023-09,11400.0,,,0.33
1171065000,2023-09,8000.0,,,0.75
1171067000,2023-09,8000.0,,,0.75
1171068000,2023-09,8000.0,,,0.75
1171072000,2023-09,8000.0,,,0.75
1174051500,2023-09,14382.75,24250.0,,1.0
1174052000,2023-09,14382.75,24250.0,,1.0
1174052500,2023-09,14382.75,24250.0,,1.0
1174052600,2023-09,14382.75,24250.0,,1.0
1174055000,2023-09,60000.0,,,0.5
1174056000,2023-09,60000.0,,,0.5
1174057000,2023-09,1000.0,,,0.33
1174058000,2023-09,1000.0,,,0.33
1174059000,2023-09,1000.0,,,0.33
1174060000,2023-09,4684.67,,,1.0
1174061000,2023-09,4684.67,,,1.0
1174062000,2023-09,4684.67,,,1.0
1174064000,2023-09,12000.0,,,0.67
1174065000,2023-09,12000.0,,,0.67
1174066000,2023-09,12000.0,,,0.67
1174069000,2023-09,14000.0,,,0.5
1174070000,2023-09,14000.0,,,0.5
1111053000,2023-10,16674.0,,,2.0
1111054000,2023-10,26000.0,26000.0,,1.0
1111056000,2023-10,90000.0,90000.0,,1.0
1111060000,2023-10,0.0,,,1.0
1111063000,2023-10,5000.0,13000.0,,3.0
1111065000,2023-10,11000.0,11000.0,,1.0
1111067000,2023-10,10000.0,,,0.33
1111068000,2023-10,10000.0,,,0.33
1111069000,2023-10,10000.0,,,0.33
1111070000,2023-10,2000.0,,,0.5
1111071000,2023-10,2000.0,,,0.5
1114061000,2023-10,3125.0,,,0.36
1114061500,2023-10,3125.0,,,0.36
1114062000,2023-10,3125.0,,,0.36
1114062500,2023-10,3125.0,,,0.36
1114063000,2023-10,3125.0,,,0.36
1114063500,2023-10,3125.0,,,0.36
1114064000,2023-10,3125.0,,,0.36
1114064500,2023-10,3125.0,,,0.36
1114065000,2023-10,3125.0,,,0.36
1114066000,2023-10,3125.0,,,0.36
1114066500,2023-10,3125.0,,,0.36
1114067000,2023-10,12475.0,19950.0,,2.0
1117051000,2023-10,2100.0,,,1.0
1117052000,2023-10,9500.0,,,1.0
1117055500,2023-10,6416.67,23500.0,,6.0
1117057000,2023-10,21000.0,21000.0,,1.0
1117058000,2023-10,15000.0,28000.0,,2.0
1117062500,2023-10,67333.33,180000.0,,3.0
1117063000,2023-10,50000.0,,,0.5
1117064000,2023-10,50000.0,,,0.5
1117065000,2023-10,10750.0,,,1.0
1117066000,2023-10,10750.0,,,1.0
1117068500,2023-10,16150.0,77000.0,,5.0
1117069000,2023-10,750.0,,,2.0
1120052000,2023-10,12000.0,12000.0,,0.5
1120053500,2023-10,12000.0,12000.0,,0.5
1120054000,2023-10,21000.0,21000.0,,1.0
1120055000,2023-10,650.0,,,0.67
1120056000,2023-10,650.0,,,0.67
1120057000,2023-10,650.0,,,0.67
1120059000,2023-10,2000.0,,,1.0
1120061500,2023-10,750.0,,,2.0
1120064500,2023-10,7500.0,,,2.0
1120065000,2023-10,5500.0,10000.0,,1.0
1120066000,2023-10,5500.0,10000.0,,1.0
1120067000,2023-10,3000.0,,,0.5
1120069000,2023-10,3000.0,,,0.5
1120072000,2023-10,14000.0,14000.0,,0.5
1120079000,2023-10,14000.0,14000.0,,0.5
1121571000,2023-10,3433.33,18500.0,,6.0
1121573000,2023-10,22533.33,33650.0,,3.0
1121574000,2023-10,14702.08,24595.83,,3.0
1121575000,2023-10,14702.08,24595.83,,3.0
1121576000,2023-10,14702.08,24595.83,,3.0
1121577000,2023-10,14702.08,24595.83,,3.0
1121578000,2023-10,3000.0,,,1.0
1121582000,2023-10,11858.33,19000.0,,3.0
1121583000,2023-10,11858.33,19000.0,,3.0
1121584000,2023-10,11858.33,19000.0,,3.0
1121584700,2023-10,11858.33,19000.0,,3.0
1121585000,2023-10,9857.14,35000.0,,2.33
1121586000,2023-10,9857.14,35000.0,,2.33
1121587000,2023-10,9857.14,35000.0,,2.33
1123053600,2023-10,13000.0,25000.0,,2.0
1123054500,2023-10,5763.33,,,3.0
1123056000,2023-10,2750.0,,,0.67
1123057000,2023-10,2750.0,,,0.67
1123060000,2023-10,1550.0,,,1.67
1123061000,2023-10,750.0,,,1.0
1123065000,2023-10,4267.0,,,1.0
1123066000,2023-10,4267.0,,,1.0
1123070500,2023-10,500.0,,,2.0
1123072000,2023-10,17900.0,35300.0,,1.0
1123073000,2023-10,17900.0,35300.0,,1.0
1126052000,2023-10,10550.0,22350.0,,1.67
