region_id,시도명,시군구명,행정동명,가격_기준월,실거래가,서울평균_실거래가,실거래가_서울평균대비율,실거래가_서울평균대비금액,전세가,서울평균_전세가,전세가_서울평균대비율,전세가_서울평균대비금액,거래량,거래량_해석주의,생활인구_기준월,생활인구,주민등록인구,세대수,안전_기준일자,안심시설수,유흥시설수,CCTV수,경찰시설수,안전_매핑방법,안전_데이터출처,가격_데이터여부,생활인구_데이터여부,안전_데이터여부
1168074000,서울특별시,강남구,일원2동,2026-01,10666.67,33950.07,-68.58,-23283.4,,53048.43,,,0.6,True,2026-05,17421.97,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168072000,서울특별시,강남구,일원본동,2025-12,49825.03,25429.86,95.93,24395.17,64085.76,44824.13,42.97,19261.63,71.27,False,2026-05,22447.93,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168056500,서울특별시,강남구,청담동,2025-12,56157.5,25429.86,120.83,30727.64,98775.81,44824.13,120.36,53951.68,72.0,False,2026-05,40699.46,,,2026-06-17,0,23,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174051500,서울특별시,강동구,강일동,2025-12,28493.36,25429.86,12.05,3063.5,44618.44,44824.13,-0.46,-205.69,249.25,False,2026-05,47902.69,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174055000,서울특별시,강동구,고덕1동,2025-12,39774.87,25429.86,56.41,14345.01,65886.87,44824.13,46.99,21062.74,136.5,False,2026-05,23499.11,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174056000,서울특별시,강동구,고덕2동,2025-12,39774.87,25429.86,56.41,14345.01,65886.87,44824.13,46.99,21062.74,136.5,False,2026-05,22268.15,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174068500,서울특별시,강동구,길동,2025-12,14248.92,25429.86,-43.97,-11180.94,31490.72,44824.13,-29.75,-13333.41,213.0,False,2026-05,58963.69,,,2026-06-17,0,96,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174069000,서울특별시,강동구,둔촌1동,2025-12,29421.04,25429.86,15.69,3991.18,42619.85,44824.13,-4.92,-2204.28,36.0,False,2026-05,27772.32,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174070000,서울특별시,강동구,둔촌2동,2025-12,29421.04,25429.86,15.69,3991.18,42619.85,44824.13,-4.92,-2204.28,36.0,False,2026-05,25369.77,,,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174053000,서울특별시,강동구,명일1동,2025-12,34383.51,25429.86,35.21,8953.65,49640.62,44824.13,10.75,4816.49,75.5,False,2026-05,23572.5,,,2026-06-17,0,13,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174054000,서울특별시,강동구,명일2동,2025-12,34383.51,25429.86,35.21,8953.65,49640.62,44824.13,10.75,4816.49,75.5,False,2026-05,15340.82,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174052500,서울특별시,강동구,상일1동,2025-12,46602.21,25429.86,83.26,21172.35,67781.05,44824.13,51.22,22956.92,51.25,False,,,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1174052600,서울특별시,강동구,상일2동,2025-12,46602.21,25429.86,83.26,21172.35,67781.05,44824.13,51.22,22956.92,51.25,False,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1174052000,서울특별시,강동구,상일동,2025-12,46602.21,25429.86,83.26,21172.35,67781.05,44824.13,51.22,22956.92,51.25,False,2026-05,40884.34,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174064000,서울특별시,강동구,성내1동,2026-01,65000.0,33950.07,91.46,31049.93,65000.0,53048.43,22.53,11951.57,0.33,True,2026-05,21534.08,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174065000,서울특별시,강동구,성내2동,2026-01,65000.0,33950.07,91.46,31049.93,65000.0,53048.43,22.53,11951.57,0.33,True,2026-05,23984.11,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174066000,서울특별시,강동구,성내3동,2026-01,65000.0,33950.07,91.46,31049.93,65000.0,53048.43,22.53,11951.57,0.33,True,2026-05,27405.07,,,2026-06-17,0,10,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174057000,서울특별시,강동구,암사1동,2025-12,27198.26,25429.86,6.95,1768.4,46085.0,44824.13,2.81,1260.87,76.33,False,2026-05,28999.04,,,2026-06-17,0,7,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174058000,서울특별시,강동구,암사2동,2025-12,27198.26,25429.86,6.95,1768.4,46085.0,44824.13,2.81,1260.87,76.33,False,2026-05,13686.29,,,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174059000,서울특별시,강동구,암사3동,2025-12,27198.26,25429.86,6.95,1768.4,46085.0,44824.13,2.81,1260.87,76.33,False,2026-05,16768.06,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174060000,서울특별시,강동구,천호1동,2026-01,10950.0,33950.07,-67.75,-23000.07,,53048.43,,,0.67,True,2026-05,28607.78,,,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174061000,서울특별시,강동구,천호2동,2026-01,10950.0,33950.07,-67.75,-23000.07,,53048.43,,,0.67,True,2026-05,44447.58,,,2026-06-17,0,19,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1174062000,서울특별시,강동구,천호3동,2026-01,10950.0,33950.07,-67.75,-23000.07,,53048.43,,,0.67,True,2026-05,27233.69,,,2026-06-17,0,13,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130553500,서울특별시,강북구,미아동,2025-12,17017.03,25429.86,-33.08,-8412.83,34816.53,44824.13,-22.33,-10007.6,62.6,False,2026-05,21233.05,,,2026-06-17,0,13,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130559500,서울특별시,강북구,번1동,2025-12,9588.06,25429.86,-62.3,-15841.8,18111.67,44824.13,-59.59,-26712.46,27.67,False,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130560300,서울특별시,강북구,번2동,2025-12,9588.06,25429.86,-62.3,-15841.8,18111.67,44824.13,-59.59,-26712.46,27.67,False,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130560800,서울특별시,강북구,번3동,2025-12,9588.06,25429.86,-62.3,-15841.8,18111.67,44824.13,-59.59,-26712.46,27.67,False,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130557500,서울특별시,강북구,삼각산동,2025-12,17017.03,25429.86,-33.08,-8412.83,34816.53,44824.13,-22.33,-10007.6,62.6,False,2026-05,19450.73,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130553400,서울특별시,강북구,삼양동,2025-12,17017.03,25429.86,-33.08,-8412.83,34816.53,44824.13,-22.33,-10007.6,62.6,False,2026-05,19903.89,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130554500,서울특별시,강북구,송중동,2025-12,17017.03,25429.86,-33.08,-8412.83,34816.53,44824.13,-22.33,-10007.6,62.6,False,2026-05,30797.39,,,2026-06-17,0,11,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130555500,서울특별시,강북구,송천동,2025-12,17017.03,25429.86,-33.08,-8412.83,34816.53,44824.13,-22.33,-10007.6,62.6,False,2026-05,22884.46,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130561500,서울특별시,강북구,수유1동,2026-02,41000.0,31733.33,29.2,9266.67,60000.0,44400.0,35.14,15600.0,0.4,True,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130562500,서울특별시,강북구,수유2동,2026-02,41000.0,31733.33,29.2,9266.67,60000.0,44400.0,35.14,15600.0,0.4,True,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130563500,서울특별시,강북구,수유3동,2026-02,41000.0,31733.33,29.2,9266.67,60000.0,44400.0,35.14,15600.0,0.4,True,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1130564500,서울특별시,강북구,우이동,2026-02,41000.0,31733.33,29.2,9266.67,60000.0,44400.0,35.14,15600.0,0.4,True,2026-05,17565.11,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1130566000,서울특별시,강북구,인수동,2026-02,41000.0,31733.33,29.2,9266.67,60000.0,44400.0,35.14,15600.0,0.4,True,2026-05,25046.06,,,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150060300,서울특별시,강서구,가양1동,2025-12,21390.72,25429.86,-15.88,-4039.14,39822.33,44824.13,-11.16,-5001.8,209.75,False,2026-05,38579.74,,,2026-06-17,0,35,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150060400,서울특별시,강서구,가양2동,2025-12,28743.81,25429.86,13.03,3313.95,41773.54,44824.13,-6.81,-3050.59,37.25,False,2026-05,13737.83,,,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150060500,서울특별시,강서구,가양3동,2025-12,27006.5,25429.86,6.2,1576.64,43158.07,44824.13,-3.72,-1666.06,112.25,False,2026-05,11154.56,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150062000,서울특별시,강서구,공항동,2025-12,14812.05,25429.86,-41.75,-10617.81,32801.06,44824.13,-26.82,-12023.07,174.0,False,2026-05,34510.22,,,2026-06-17,0,7,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150052000,서울특별시,강서구,등촌1동,2025-12,22267.8,25429.86,-12.43,-3162.06,35209.89,44824.13,-21.45,-9614.24,81.5,False,2026-05,19988.69,,,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150053000,서울특별시,강서구,등촌2동,2025-12,22267.8,25429.86,-12.43,-3162.06,35209.89,44824.13,-21.45,-9614.24,81.5,False,2026-05,15261.32,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150053500,서울특별시,강서구,등촌3동,2025-12,22267.8,25429.86,-12.43,-3162.06,35209.89,44824.13,-21.45,-9614.24,81.5,False,2026-05,31691.63,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150061100,서울특별시,강서구,발산1동,2025-12,19020.83,25429.86,-25.2,-6409.03,42683.3,44824.13,-4.78,-2140.83,201.0,False,2026-05,30875.04,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150063000,서울특별시,강서구,방화1동,2025-12,14812.05,25429.86,-41.75,-10617.81,32801.06,44824.13,-26.82,-12023.07,174.0,False,2026-05,32153.39,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150064000,서울특별시,강서구,방화2동,2025-12,14269.94,25429.86,-43.89,-11159.92,26179.03,44824.13,-41.6,-18645.1,50.0,False,2026-05,24249.76,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150064100,서울특별시,강서구,방화3동,2025-12,16454.77,25429.86,-35.29,-8975.09,36889.14,44824.13,-17.7,-7934.99,140.0,False,2026-05,15049.2,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150051000,서울특별시,강서구,염창동,2025-12,27006.5,25429.86,6.2,1576.64,43158.07,44824.13,-3.72,-1666.06,112.25,False,2026-05,29884.95,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150061500,서울특별시,강서구,우장산동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,33994.55,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150054000,서울특별시,강서구,화곡1동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,47613.72,,,2026-06-17,0,115,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150055000,서울특별시,강서구,화곡2동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,12401.61,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150056000,서울특별시,강서구,화곡3동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,16240.45,,,2026-06-17,0,10,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150057000,서울특별시,강서구,화곡4동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,13925.78,,,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150059100,서울특별시,강서구,화곡6동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,20046.43,,,2026-06-17,0,56,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150059300,서울특별시,강서구,화곡8동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,57193.14,,,2026-06-17,0,10,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1150059000,서울특별시,강서구,화곡본동,2026-01,26000.0,33950.07,-23.42,-7950.07,26000.0,53048.43,-50.99,-27048.43,0.12,True,2026-05,25918.8,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162058500,서울특별시,관악구,낙성대동,2026-01,5000.0,33950.07,-85.27,-28950.07,,53048.43,,,0.11,True,2026-05,25830.64,,,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162077500,서울특별시,관악구,난곡동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,16093.45,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162071500,서울특별시,관악구,난향동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,7826.16,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162063000,서울특별시,관악구,남현동,2025-12,11995.05,25429.86,-52.83,-13434.81,28480.0,44824.13,-36.46,-16344.13,65.0,False,2026-05,21521.63,,,2026-06-17,0,19,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162073500,서울특별시,관악구,대학동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,36744.11,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162076500,서울특별시,관악구,미성동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,19794.69,,,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162052500,서울특별시,관악구,보라매동,2026-01,5000.0,33950.07,-85.27,-28950.07,,53048.43,,,0.11,True,2026-05,17674.89,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162074500,서울특별시,관악구,삼성동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,18267.57,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162066500,서울특별시,관악구,서림동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,17190.9,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162064500,서울특별시,관악구,서원동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,19184.38,,,2026-06-17,0,38,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162056500,서울특별시,관악구,성현동,2026-01,5000.0,33950.07,-85.27,-28950.07,,53048.43,,,0.11,True,2026-05,20146.05,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162069500,서울특별시,관악구,신림동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,28756.64,,,2026-06-17,0,103,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162068500,서울특별시,관악구,신사동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,18844.75,,,2026-06-17,0,12,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162065500,서울특별시,관악구,신원동,2026-01,22500.0,33950.07,-33.73,-11450.07,35000.0,53048.43,-34.02,-18048.43,0.18,True,2026-05,14847.09,,,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1162060500,서울특별시,관악구,은천동,2026-01,5000.0,33950.07,-85.27,-28950.07,,53048.43,,,0.11,True,2026-05,26524.3,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
